City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Chokurdakh,70.6333,147.9167,-8.82,100,91,3.96,RU,2022-04-17 18:44:54
68,Strezhevoy,60.7333,77.5889,16.41,97,15,4.7,RU,2022-04-17 18:41:29
69,Bonavista,48.6499,-53.1147,37.54,91,90,24.92,CA,2022-04-17 18:44:55
70,Lata,40.1629,-8.3327,58.87,82,96,4.25,PT,2022-04-17 18:44:55
71,Lesosibirsk,58.2358,92.4828,41.29,90,100,5.61,RU,2022-04-17 18:44:55
72,San Policarpo,12.1791,125.5072,81.18,71,91,11.81,PH,2022-04-17 18:44:55
73,Itarema,-2.9248,-39.9167,82.89,77,86,8.79,BR,2022-04-17 18:44:56
74,Mar Del Plata,-38.0023,-57.5575,68.02,83,20,8.99,AR,2022-04-17 18:44:56
75,Lake Havasu City,34.4839,-114.3224,84.99,16,0,6.91,US,2022-04-17 18:44:57
76,Ibia,-19.4783,-46.5389,76.46,70,93,5.77,BR,2022-04-17 18:44:57
77,Butaritari,3.0707,172.7902,81.25,74,19,11.92,KI,2022-04-17 18:44:57
78,Bredy,52.4153,60.3411,46.63,67,100,5.84,RU,2022-04-17 18:44:57
79,Asau,46.4333,26.4,38.32,81,28,6.13,RO,2022-04-17 18:40:13
80,Kavaratti,10.5669,72.642,84.2,72,13,4.68,IN,2022-04-17 18:44:58
81,Najran,17.4924,44.1277,84.85,26,98,4.03,SA,2022-04-17 18:44:58
82,Bam,29.106,58.357,74.23,29,36,9.22,IR,2022-04-17 18:44:58
83,East London,-33.0153,27.9116,63.54,94,0,3.44,ZA,2022-04-17 18:44:59
84,Tias,28.9611,-13.645,74.88,47,100,14.97,ES,2022-04-17 18:44:59
85,San Carlos De Bariloche,-41.1456,-71.3082,60.55,48,75,3.44,AR,2022-04-17 18:44:59
86,San Cristobal,7.7669,-72.225,69.98,91,100,4.03,VE,2022-04-17 18:44:56
87,Mirabad,30.4362,61.8383,77.43,34,7,19.06,AF,2022-04-17 18:45:00
88,Ancud,-41.8697,-73.8203,61.23,71,100,5.44,CL,2022-04-17 18:45:00
89,Saint George,37.1041,-113.5841,76.62,19,0,3.44,US,2022-04-17 18:45:01
90,Amahai,-3.3333,128.9167,78.13,84,97,5.28,ID,2022-04-17 18:46:01
91,Georgiyevskoye,58.731,45.024,25.95,92,7,1.45,RU,2022-04-17 18:46:01
92,Tuktoyaktuk,69.4541,-133.0374,8.6,66,75,8.05,CA,2022-04-17 18:45:56
93,Mount Isa,-20.7333,139.5,62.37,55,5,0.0,AU,2022-04-17 18:46:02
94,Chuy,-33.6971,-53.4616,68.95,56,100,9.84,UY,2022-04-17 18:46:02
95,Kapit,2.0167,112.9333,73.56,99,100,0.27,MY,2022-04-17 18:46:03
96,Balabac,7.9868,117.0645,81.05,80,73,9.84,PH,2022-04-17 18:46:03
97,Macusani,-14.0833,-70.4333,55.29,26,1,3.02,PE,2022-04-17 18:46:03
98,Half Moon Bay,37.4636,-122.4286,64.54,62,0,12.66,US,2022-04-17 18:45:20
99,Kampot,10.6167,104.1833,80.65,76,98,2.95,KH,2022-04-17 18:46:04
100,Ketchikan,55.3422,-131.6461,46.38,61,20,11.5,US,2022-04-17 18:46:04
101,Altus,34.6381,-99.334,67.86,36,0,13.8,US,2022-04-17 18:41:41
102,Torbat-E Jam,35.244,60.6225,55.15,69,100,14.07,IR,2022-04-17 18:46:04
103,Adrar,20.5022,-10.0711,86.49,10,7,10.27,MR,2022-04-17 18:46:05
104,Moctezuma,29.8,-109.6667,89.26,7,19,4.38,MX,2022-04-17 18:46:05
105,Sitka,57.0531,-135.33,44.49,53,40,3.44,US,2022-04-17 18:46:05
106,Tasiilaq,65.6145,-37.6368,33.96,98,100,10.31,GL,2022-04-17 18:45:09
107,De Aar,-30.6497,24.0123,62.31,51,5,3.44,ZA,2022-04-17 18:45:02
108,Sao Jose Da Coroa Grande,-8.8978,-35.1478,81.75,77,37,8.19,BR,2022-04-17 18:46:06
109,Kuruman,-27.4524,23.4325,61.23,66,4,4.94,ZA,2022-04-17 18:46:06
110,Tromso,69.6496,18.957,42.82,81,75,14.97,NO,2022-04-17 18:46:06
111,Talcahuano,-36.7167,-73.1167,57.34,82,98,8.99,CL,2022-04-17 18:46:07
112,Hermanus,-34.4187,19.2345,61.81,82,5,11.86,ZA,2022-04-17 18:46:07
113,Olafsvik,64.8945,-23.7142,41.95,66,94,12.3,IS,2022-04-17 18:46:07
114,Shizunai,42.3339,142.3669,40.8,92,14,5.93,JP,2022-04-17 18:45:22
115,Bredasdorp,-34.5322,20.0403,59.31,94,38,5.48,ZA,2022-04-17 18:46:08
116,Jurmala,56.968,23.7704,37.42,65,0,4.61,LV,2022-04-17 18:46:08
117,Ashland,40.8167,-82.2665,44.98,49,6,7.85,US,2022-04-17 18:45:20
118,Naze,28.3667,129.4833,56.32,61,97,5.1,JP,2022-04-17 18:46:09
119,Sorland,67.667,12.6934,42.66,84,100,15.48,NO,2022-04-17 18:46:09
120,Mineros,-17.1167,-63.2333,77.68,37,34,10.22,BO,2022-04-17 18:46:09
121,Columbia,34.0007,-81.0348,83.79,47,0,6.91,US,2022-04-17 18:44:32
122,Ayan,56.45,138.1667,20.41,84,74,5.41,RU,2022-04-17 18:46:10
123,Igis,46.9453,9.5722,43.63,72,100,2.77,CH,2022-04-17 18:46:10
124,Nouadhibou,20.931,-17.0347,69.78,78,40,11.5,MR,2022-04-17 18:45:20
125,Narok,-1.0783,35.8601,60.64,92,100,2.08,KE,2022-04-17 18:46:10
126,Hobyo,5.3505,48.5268,83.55,81,44,19.55,SO,2022-04-17 18:45:14
127,Tiksi,71.6872,128.8694,-9.72,99,75,1.7,RU,2022-04-17 18:43:57
128,Iberia,29.9502,-91.7507,83.05,69,100,13.8,US,2022-04-17 18:46:11
129,Cidreira,-30.1811,-50.2056,70.03,59,100,8.43,BR,2022-04-17 18:46:11
130,Erenhot,43.6475,111.9767,44.74,29,0,6.62,CN,2022-04-17 18:46:11
131,Labuhan,-6.8844,112.2051,80.11,84,90,2.19,ID,2022-04-17 18:46:12
132,Hovd,48.0056,91.6419,44.2,27,0,4.76,MN,2022-04-17 18:46:12
133,Touros,-5.1989,-35.4608,84.07,66,95,9.64,BR,2022-04-17 18:46:12
134,Namibe,-15.1961,12.1522,76.05,69,29,4.7,AO,2022-04-17 18:46:13
135,Almaznyy,48.0448,40.045,55.17,64,100,3.09,RU,2022-04-17 18:46:13
136,Khatanga,71.9667,102.5,6.91,96,96,11.65,RU,2022-04-17 18:46:13
137,Clyde River,70.4692,-68.5914,-9.17,84,75,11.5,CA,2022-04-17 18:47:14
138,Newton,42.337,-71.2092,49.05,54,100,16.11,US,2022-04-17 18:43:09
139,Port Macquarie,-31.4333,152.9167,58.89,92,16,4.23,AU,2022-04-17 18:47:14
140,Isangel,-19.55,169.2667,79.18,82,100,2.91,VU,2022-04-17 18:46:57
141,Provideniya,64.3833,-173.3,30.27,96,100,15.66,RU,2022-04-17 18:46:34
142,Sidi Ali,36.0998,0.4206,60.8,72,0,3.56,DZ,2022-04-17 18:47:14
143,Hamilton,39.1834,-84.5333,51.89,45,0,11.5,US,2022-04-17 18:46:59
144,Colwyn Bay,53.2948,-3.7267,57.9,62,100,10.0,GB,2022-04-17 18:47:15
145,Visby,57.6409,18.296,39.42,70,0,2.3,SE,2022-04-17 18:47:15
146,Geraldton,-28.7667,114.6,54.01,82,0,8.05,AU,2022-04-17 18:46:19
